Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mikolajczyk, K., Schmid, C.","6701762328; 7201732776","A performance evaluation of local descriptors",2005,"IEEE Transactions on Pattern Analysis and Machine Intelligence",27,"10",,1615,1630,,5381,10.1109/TPAMI.2005.188,"https://www.scopus.com/inward/record.url?eid=2-s2.0-27644547620&partnerID=40&md5=1175f477b58bea3be64615c0040d36f4",Article,Final,,Scopus,2-s2.0-27644547620
"Fischl, B., Van Der Kouwe, A., Destrieux, C., Halgren, E., Ségonne, F., Salat, D.H., Busa, E., Seidman, L.J., Goldstein, J., Kennedy, D., Caviness, V., Makris, N., Rosen, B., Dale, A.M.","7003369437; 6603366943; 6603691123; 16934930800; 6602273803; 7003356639; 6603256613; 7006891289; 7403363134; 7403112259; 7006350367; 35480152800; 7202720912; 7103400804","Automatically Parcellating the Human Cerebral Cortex",2004,"Cerebral Cortex",14,"1",,11,22,,2532,10.1093/cercor/bhg087,"https://www.scopus.com/inward/record.url?eid=2-s2.0-9144254529&partnerID=40&md5=74ea3c7016d04e48408958069c44b63e",Article,Final,Open Access,Scopus,2-s2.0-9144254529
"Klein, A., Andersson, J., Ardekani, B.A., Ashburner, J., Avants, B., Chiang, M.-C., Christensen, G.E., Collins, D.L., Gee, J., Hellier, P., Song, J.H., Jenkinson, M., Lepage, C., Rueckert, D., Thompson, P., Vercauteren, T., Woods, R.P., Mann, J.J., Parsey, R.V.","8937780100; 7201501414; 7003343403; 7004536701; 6602804684; 57142825600; 7202944649; 7403254132; 57202708522; 6701865649; 55500877400; 7004366857; 7003408844; 7004895812; 7403220237; 23010613000; 7401707283; 35311483200; 6701501612","Evaluation of 14 nonlinear deformation algorithms applied to human brain MRI registration",2009,"NeuroImage",46,"3",,786,802,,1440,10.1016/j.neuroimage.2008.12.037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-64949166881&partnerID=40&md5=984d863141ac91475d8b7c7681948018",Article,Final,,Scopus,2-s2.0-64949166881
"Beer, C., Reichstein, M., Tomelleri, E., Ciais, P., Jung, M., Carvalhais, N., Rödenbeck, C., Arain, M.A., Baldocchi, D., Bonan, G.B., Bondeau, A., Cescatti, A., Lasslop, G., Lindroth, A., Lomas, M., Luyssaert, S., Margolis, H., Oleson, K.W., Roupsard, O., Veenendaal, E., Viovy, N., Williams, C., Woodward, F.I., Papale, D.","23007496500; 57206534330; 16445147700; 55399842300; 55715135500; 16444367600; 16053439600; 7003650034; 7005870626; 7005557215; 6602822939; 6602126569; 23567961700; 7006762240; 7004471194; 6602635049; 7101693225; 6603901951; 6602797994; 6604003297; 57192414605; 55707271400; 7005902678; 15081024700","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,"Science",329,"5993",,834,838,,1351,10.1126/science.1184984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955623505&partnerID=40&md5=3905a2de497a409d24445dc2a14a096d",Article,Final,,Scopus,2-s2.0-77955623505
"Jégou, H., Douze, M., Schmid, C.","6507000363; 6508266141; 7201732776","Product quantization for nearest neighbor search",2011,"IEEE Transactions on Pattern Analysis and Machine Intelligence",33,"1", 5432202,117,128,,1277,10.1109/TPAMI.2010.57,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78649317568&partnerID=40&md5=8dc1f43450581389128c9ecfddb77d9d",Article,Final,,Scopus,2-s2.0-78649317568
"Jung, M., Reichstein, M., Ciais, P., Seneviratne, S.I., Sheffield, J., Goulden, M.L., Bonan, G., Cescatti, A., Chen, J., De Jeu, R., Dolman, A.J., Eugster, W., Gerten, D., Gianelle, D., Gobron, N., Heinke, J., Kimball, J., Law, B.E., Montagnani, L., Mu, Q., Mueller, B., Oleson, K., Papale, D., Richardson, A.D., Roupsard, O., Running, S., Tomelleri, E., Viovy, N., Weber, U., Williams, C., Wood, E., Zaehle, S., Zhang, K.","55715135500; 57206534330; 55399842300; 7003499456; 7102636633; 8060387000; 7005557215; 6602126569; 8985856500; 6603549082; 7006563002; 6603954179; 6602972127; 24075870600; 6701592812; 36177721100; 57189939159; 7101676100; 6506296712; 15822203700; 36984121900; 6603901951; 15081024700; 7402534046; 6602797994; 7005395607; 16445147700; 57192414605; 25621824600; 55707271400; 35495958000; 9534656400; 55333061800","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,"Nature",467,"7318",,951,954,,1159,10.1038/nature09396,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78049234152&partnerID=40&md5=c603cfcc69afdee9d186dbe9f35a9084",Article,Final,,Scopus,2-s2.0-78049234152
"Saad, M.A., Bovik, A.C., Charrier, C.","26435535300; 56984291600; 7003333648","Blind image quality assessment: A natural scene statistics approach in the DCT domain",2012,"IEEE Transactions on Image Processing",21,"8", 6172573,3339,3352,,1006,10.1109/TIP.2012.2191563,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84864127797&partnerID=40&md5=0ca1897901545a4167e821ff7086b668",Article,Final,,Scopus,2-s2.0-84864127797
"Zhang, Z., Deriche, R., Faugeras, O., Luong, Q.-T.","13609600600; 7003952036; 57207525701; 36475342000","A robust technique for matching two uncalibrated images through the recovery of the unknown epipolar geometry",1995,"Artificial Intelligence",78,"1-2",,87,119,,909,10.1016/0004-3702(95)00022-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0029388810&partnerID=40&md5=bf3f031a587651ef30056a4529111b81",Article,Final,Open Access,Scopus,2-s2.0-0029388810
"Bellini, A., Filippetti, F., Tassoni, C., Capolino, G.-A.","7006264843; 7003540629; 35560438900; 7004360864","Advances in diagnostic techniques for induction machines",2008,"IEEE Transactions on Industrial Electronics",55,"12",,4109,4126,,846,10.1109/TIE.2008.2007527,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749196360&partnerID=40&md5=23fc76053ce5bbbe94dfb6073fcd4eef",Article,Final,,Scopus,2-s2.0-57749196360
"Le Pennec, E., Mallat, S.","6507357761; 7006576695","Sparse geometric image representations with bandelets",2005,"IEEE Transactions on Image Processing",14,"4",,423,438,,740,10.1109/TIP.2005.843753,"https://www.scopus.com/inward/record.url?eid=2-s2.0-17544369568&partnerID=40&md5=8311d37f402453b34cae2db1b0dadf28",Article,Final,,Scopus,2-s2.0-17544369568
